City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,kirakira,-10.4544,161.9205,83.77,76,100,10.07,SB,1698883616
120,longyearbyen,78.2186,15.6401,10.24,67,20,13.8,SJ,1698883616
121,queenstown,-31.8976,26.8753,53.15,83,100,1.63,ZA,1698883500
122,bredasdorp,-34.5322,20.0403,61.39,84,100,14.23,ZA,1698883616
123,kroya,-7.6331,109.2461,81.14,75,5,2.66,ID,1698883617
124,mhamid,29.82,-5.72,75.2,19,3,6.73,MA,1698883617
125,bad oldesloe,53.8117,10.3742,53.55,94,100,11.61,DE,1698883617
126,lazaro cardenas,17.9583,-102.2,80.74,83,48,4.7,MX,1698883483
127,boerne,29.7947,-98.732,56.52,47,0,3.44,US,1698883618
128,floriano,-6.7669,-43.0225,82.18,53,16,5.77,BR,1698883569
129,santyoku,37.4406,129.1708,66.85,74,2,4.76,KR,1698883618
130,katsuura,35.1333,140.3,68.25,60,0,3.76,JP,1698883427
131,dudinka,69.4058,86.1778,6.62,97,100,1.99,RU,1698883367
132,medina,24.4686,39.6142,75.63,53,75,9.22,SA,1698883618
133,great falls,47.5002,-111.3008,50.45,42,0,11.5,US,1698883528
134,mykhaylivka,47.2724,35.2224,52.88,89,46,9.19,UA,1698883618
135,jamestown,42.097,-79.2353,38.79,82,20,7.0,US,1698883544
136,acarau,-2.8856,-40.12,80.08,80,47,13.62,BR,1698883619
137,san antonio de pale,-1.4014,5.6325,79.23,85,66,8.95,GQ,1698883619
138,san sebastian de la gomera,28.0916,-17.1133,75.38,88,0,8.05,ES,1698883619
139,bryne,58.7354,5.6477,45.99,78,100,25.32,NO,1698883619
140,kiunga,-6.1219,141.2906,75.2,97,100,2.46,PG,1698883619
141,remire-montjoly,4.9167,-52.2667,82.44,83,0,5.75,GF,1698883549
142,georgetown,5.4112,100.3354,80.02,94,20,0.0,MY,1698883619
143,iskateley,67.6803,53.1512,13.01,97,39,5.99,RU,1698883619
144,eforie sud,44.0229,28.6494,49.01,74,32,7.67,RO,1698883620
145,ulanhot,46.0833,122.0833,34.63,90,100,4.61,CN,1698883620
146,an nuhud,12.7,28.4333,85.1,19,89,17.85,SD,1698883620
147,udachny,66.4167,112.4,-15.52,100,80,5.99,RU,1698883620
148,afaahiti,-17.75,-149.2833,82.27,83,91,23.42,PF,1698883620
149,ketchikan,55.3422,-131.6461,48.18,87,100,0.0,US,1698883621
150,fresno,36.6666,-119.8343,79.52,24,75,3.44,US,1698883621
151,pudozh,61.8099,36.5345,33.94,96,100,8.99,RU,1698883621
152,sakassou,7.4546,-5.2926,74.32,89,63,4.29,CI,1698883621
153,lethem,3.3803,-59.7968,84.92,54,65,5.28,GY,1698883621
154,hamilton,39.1834,-84.5333,40.77,68,0,4.61,US,1698883528
155,pendleton,45.6721,-118.7886,57.6,65,20,5.75,US,1698883601
156,hasaki,35.7333,140.8333,61.2,53,0,2.28,JP,1698883347
157,ulladulla,-35.35,150.4667,63.81,58,70,5.88,AU,1698883621
158,armacao de buzios,-22.7469,-41.8817,73.18,90,72,17.27,BR,1698883331
159,happy valley-goose bay,53.3168,-60.3315,28.31,43,13,4.47,CA,1698883622
160,masterton,-40.9597,175.6575,63.88,42,88,2.19,NZ,1698883622
161,yurga,55.7231,84.8861,26.11,98,100,2.75,RU,1698883380
162,recani,31.2846,-4.2688,75.24,18,4,12.62,MA,1698883622
163,muli,2.9167,73.5667,81.48,78,58,4.32,MV,1698883622
164,nabire,-3.3667,135.4833,76.03,92,100,2.26,ID,1698883622
165,maumere,-8.6199,122.2111,84.67,65,76,2.64,ID,1698883622
166,isafjordur,66.0755,-23.124,35.74,75,85,10.4,IS,1698883622
167,thinadhoo,0.5333,72.9333,80.24,82,47,10.78,MV,1698883623
168,talnakh,69.4865,88.3972,6.21,90,100,6.78,RU,1698883623
169,candaba,15.15,120.85,82.13,91,97,5.26,PH,1698883623
170,gustavia,17.8962,-62.8498,83.12,80,2,8.01,BL,1698883623
171,waddan,29.1614,16.139,74.21,24,15,6.2,LY,1698883623
172,port lincoln,-34.7333,135.8667,61.27,70,93,12.5,AU,1698883623
173,bamboo flat,11.7,92.7167,81.16,79,99,10.67,IN,1698883623
174,fort bragg,35.139,-79.006,43.83,59,0,4.61,US,1698883623
175,yanchep,-31.55,115.6833,72.61,46,38,12.84,AU,1698883623
176,coahuayana de hidalgo,18.7,-103.6583,80.76,85,64,3.15,MX,1698883624
177,tralee,52.2704,-9.7026,47.66,76,100,12.82,IE,1698883624
178,guateque,5.0062,-73.4727,60.46,98,83,3.24,CO,1698883624
179,baturaja,-4.1333,104.1667,77.0,87,47,1.52,ID,1698883624
180,enewetak,11.3474,162.3373,83.3,73,100,15.61,MH,1698883624
181,kenai,60.5544,-151.2583,42.1,72,0,9.22,US,1698883624
182,colonia,50.9333,6.95,53.82,83,20,12.66,DE,1698883471
183,qamdo,31.1667,97.2333,26.31,54,95,3.49,CN,1698883624
184,khandyga,62.6667,135.6,3.22,95,100,4.43,RU,1698883624
185,la'ie,21.6477,-157.9253,87.76,74,8,4.0,US,1698883625
186,magadan,59.5667,150.8,34.54,95,100,9.98,RU,1698883484
187,manjeri,11.1167,76.1167,74.08,100,75,2.3,IN,1698883625
188,aykhal,66.0,111.5,-11.6,100,98,7.09,RU,1698883405
189,sainte-menehould,49.0833,4.9,53.49,81,99,16.8,FR,1698883625
190,vung tau,10.346,107.0843,80.33,84,100,8.97,VN,1698883436
191,papatowai,-46.5619,169.4708,57.74,71,100,3.58,NZ,1698883625
192,callao,-12.0667,-77.15,68.72,77,100,8.05,PE,1698883379
193,praia da vitoria,38.7333,-27.0667,66.76,81,54,17.76,PT,1698883626
194,mount isa,-20.7333,139.5,92.97,14,18,11.5,AU,1698883626
195,andergrove,-21.0833,149.1833,82.65,64,38,10.76,AU,1698883626
196,bandar-e lengeh,26.5579,54.8807,82.51,65,0,9.22,IR,1698883626
197,voss,60.623,6.4229,37.54,88,100,9.13,NO,1698883626
198,vorgashor,67.5833,63.95,4.12,98,94,5.14,RU,1698883626
199,hithadhoo,-0.6,73.0833,80.83,80,94,13.29,MV,1698883627
200,sao joao da barra,-21.6403,-41.0511,75.29,90,100,11.81,BR,1698883502
201,bodo,67.28,14.405,28.78,73,0,20.71,NO,1698883627
202,albany,42.6001,-73.9662,37.22,60,27,9.01,US,1698883343
203,canutama,-6.5339,-64.3831,75.11,95,95,3.27,BR,1698883627
204,mahroni,24.5862,78.7288,66.49,57,0,0.09,IN,1698883627
205,tauranga,-37.6861,176.1667,69.66,65,100,1.99,NZ,1698883627
206,custoias,41.1053,-7.321,60.15,83,100,28.25,PT,1698883627
207,sakaraha,-22.9,44.5333,68.49,76,41,7.61,MG,1698883627
208,laguna,38.421,-121.4238,78.06,31,0,4.61,US,1698883545
209,tomarovka,50.6834,36.2331,57.34,96,100,11.99,RU,1698883628
210,thompson,55.7435,-97.8558,21.36,68,100,5.75,CA,1698883408
211,tadine,-21.55,167.8833,73.9,54,64,7.23,NC,1698883628
212,puerto leguizamo,-0.1934,-74.7819,75.92,92,100,2.24,CO,1698883628
213,klaipeda,55.7172,21.1175,48.25,75,99,12.1,LT,1698883628
214,haiku-pauwela,20.9219,-156.3051,82.42,65,20,17.27,US,1698883628
215,las heras,-46.5419,-68.9359,60.04,19,0,12.97,AR,1698883628
216,chinsali,-10.5414,32.0816,69.64,62,38,8.01,ZM,1698883628
217,tangerhutte,52.4333,11.8,53.51,76,100,13.18,DE,1698883629
218,sakiai,54.9547,23.0358,37.74,85,57,5.75,LT,1698883629
219,salekhard,66.53,66.6019,2.84,96,59,4.34,RU,1698883331
220,ust-tsilma,65.441,52.1498,9.61,99,84,1.99,RU,1698883629
221,ivdel',60.6911,60.4206,13.19,96,30,3.0,RU,1698883629
222,egilsstadir,65.2653,-14.3948,35.44,97,94,16.02,IS,1698883629
223,lompoc,34.6391,-120.4579,82.54,21,0,9.22,US,1698883629
224,sharlyk,52.9167,54.75,43.45,86,40,7.7,RU,1698883629
225,prince rupert,54.3161,-130.3201,51.08,59,99,2.04,CA,1698883629
226,castillos,-34.1667,-53.8333,57.4,70,100,12.97,UY,1698883629
227,nema,57.5067,50.5011,37.35,100,100,6.55,RU,1698883630
228,naze,28.3667,129.4833,72.45,56,15,11.56,JP,1698883630
229,nerang,-27.9833,153.3333,77.85,60,93,7.0,AU,1698883626
230,cherepanovo,54.2222,83.381,31.19,98,100,12.77,RU,1698883630
231,yur'yev-pol'skiy,56.5,39.6833,49.64,93,100,6.64,RU,1698883630
232,hami,42.8,93.45,42.42,45,3,7.31,CN,1698883630
233,al fallujah,33.3538,43.7795,70.34,66,71,3.65,IQ,1698883630
234,tafuna,-14.3358,-170.72,80.17,77,73,18.25,AS,1698883631
235,punta arenas,-53.15,-70.9167,44.11,52,100,8.55,CL,1698883631
236,new norfolk,-42.7826,147.0587,63.72,40,75,1.79,AU,1698883631
237,montepuez,-13.1256,38.9997,70.77,90,38,6.04,MZ,1698883631
238,dalnegorsk,44.5604,135.5701,40.6,62,89,1.99,RU,1698883631
239,tolanaro,-25.0319,46.9987,70.56,93,39,6.73,MG,1698883631
240,fale old settlement,-9.3852,-171.2468,84.07,69,93,6.96,TK,1698883631
241,parapat,2.663,98.9349,68.25,90,100,1.05,ID,1698883631
242,tamanrasset,22.785,5.5228,64.31,17,0,4.61,DZ,1698883631
243,chengyang,27.0892,119.6453,67.55,80,89,0.92,CN,1698883632
244,gaiman,-43.2897,-65.4929,52.66,36,2,21.56,AR,1698883632
245,orkney,-26.9802,26.6727,57.45,45,84,5.77,ZA,1698883632
246,shirvan,39.9509,48.8994,61.68,88,62,1.92,AZ,1698883632
247,itapipoca,-3.4944,-39.5786,77.47,77,35,4.36,BR,1698883632
248,necochea,-38.5473,-58.7368,42.55,72,94,7.78,AR,1698883632
249,ar rahad,12.7167,30.65,83.05,18,67,8.68,SD,1698883632
250,villa gesell,-37.2639,-56.973,49.05,67,61,13.94,AR,1698883632
251,guarapuava,-25.3953,-51.4581,62.19,99,86,4.45,BR,1698883357
252,sisimiut,66.9395,-53.6735,29.93,66,87,6.38,GL,1698883368
253,itamaraca,-7.7478,-34.8256,78.66,82,13,10.11,BR,1698883633
254,dwarka,22.2394,68.9678,81.57,55,0,7.54,IN,1698883585
255,midland,31.9974,-102.0779,57.87,39,0,11.5,US,1698883425
256,iquique,-20.2208,-70.1431,64.44,78,20,2.35,CL,1698883352
257,kuluncak,38.8828,37.6728,55.99,61,95,4.47,TR,1698883633
258,sydney mines,46.2367,-60.2177,40.37,93,100,7.0,CA,1698883634
259,keflavik,64.0049,-22.5624,36.03,55,0,17.27,IS,1698883634
260,cruz del eje,-30.7264,-64.8039,51.87,77,98,15.75,AR,1698883634
261,lebu,-37.6167,-73.65,50.25,81,35,6.46,CL,1698883634
262,souillac,-20.5167,57.5167,75.76,85,39,9.1,MU,1698883634
263,porto novo,6.4965,2.6036,78.48,87,96,3.6,BJ,1698883634
264,porto empedocle,37.2934,13.5264,66.67,87,35,6.51,IT,1698883635
265,sarangani,5.4033,125.4636,83.35,74,41,9.91,PH,1698883635
266,kerikeri,-35.2268,173.9474,65.91,79,66,1.01,NZ,1698883635
267,kanniyakumari,8.0833,77.5667,80.13,79,100,7.65,IN,1698883635
268,diego de almagro,-26.3667,-70.05,62.06,39,51,5.23,CL,1698883635
269,kailua-kona,19.6406,-155.9956,85.5,76,20,10.36,US,1698883548
270,sao gabriel da cachoeira,-0.1303,-67.0892,75.96,95,99,3.24,BR,1698883635
271,dunedin,-45.8742,170.5036,56.8,81,100,3.0,NZ,1698883635
272,yuzhno-kurilsk,44.0306,145.8556,51.37,91,100,25.12,RU,1698883635
273,richards bay,-28.783,32.0377,59.23,81,63,3.06,ZA,1698883636
274,gutierrez zamora,20.45,-97.0833,67.82,56,100,9.98,MX,1698883636
275,raduzhnyy,62.0961,77.475,14.81,90,100,4.52,RU,1698883636
276,geraldton,-28.7667,114.6,72.01,43,13,6.91,AU,1698883636
277,ancud,-41.8697,-73.8203,49.91,76,58,5.57,CL,1698883636
278,carnarvon,-24.8667,113.6333,73.63,61,0,12.59,AU,1698883636
279,san patricio,28.017,-97.5169,62.46,38,1,6.35,US,1698883636
280,police,53.5521,14.5718,50.67,91,100,1.99,PL,1698883636
281,namanga,-2.5433,36.7905,68.2,80,74,5.21,KE,1698883637
282,alaghsas,17.0187,8.0168,79.43,18,52,10.13,NE,1698883637
283,horta,38.5333,-28.6333,65.01,83,70,11.99,PT,1698883637
284,atar,20.5169,-13.0499,83.48,13,0,8.95,MR,1698883637
285,nadym,65.5333,72.5167,14.61,95,100,5.48,RU,1698883501
286,tarawa,1.419,172.984,83.1,76,92,9.19,KI,1698883637
287,pointe-noire,-4.7761,11.8635,78.87,94,20,5.28,CG,1698883637
288,dourbali,11.8091,15.8632,81.93,33,100,3.44,TD,1698883637
289,mana,5.6592,-53.7767,80.92,83,40,10.18,GF,1698883638
290,amga,60.8953,131.9608,6.48,92,100,6.89,RU,1698883638
291,vila velha,-20.3297,-40.2925,78.75,86,75,6.91,BR,1698883638
292,san luis de la loma,17.2706,-100.8939,80.42,86,44,3.98,MX,1698883638
293,salalah,17.0151,54.0924,77.09,83,20,3.44,OM,1698883638
294,irymple,-34.25,142.1667,65.08,49,55,10.22,AU,1698883638
295,port mathurin,-19.6833,63.4167,76.44,71,19,17.6,MU,1698883427
296,corovode,40.5042,20.2272,59.09,77,100,3.02,AL,1698883639
297,neka,36.6508,53.299,62.4,62,52,3.74,IR,1698883639
298,san pedro pochutla,15.7333,-96.4667,83.91,86,93,4.23,MX,1698883639
299,oye-plage,50.9771,2.0428,51.76,86,86,30.22,FR,1698883639
300,mariehamn,60.0973,19.9348,31.86,93,75,6.91,AX,1698883639
301,taro,-8.3862,115.28,73.4,69,65,3.15,ID,1698883639
302,morondava,-20.2833,44.2833,76.8,75,92,6.49,MG,1698883583
303,garzon,2.1959,-75.6278,70.54,93,97,1.95,CO,1698883520
304,garachico,28.7781,-17.7646,68.11,73,0,8.05,ES,1698883639
305,crane,31.3974,-102.3501,53.67,35,1,13.96,US,1698883640
306,cidreira,-30.1811,-50.2056,64.85,81,100,18.25,BR,1698883347
307,port blair,11.6667,92.75,81.1,79,99,11.14,IN,1698883640
308,gorgoram,12.6398,10.7039,82.31,20,99,8.28,NG,1698883640
309,tevriz,57.509,72.4042,17.82,98,94,3.06,RU,1698883640
310,kapa'a,22.0752,-159.319,84.18,70,0,9.22,US,1698883640
311,lihue,21.9789,-159.3672,83.44,69,0,9.22,US,1698883640
312,hadibu,12.65,54.0333,78.87,76,99,10.58,YE,1698883640
313,pereira barreto,-20.6383,-51.1092,77.95,72,65,4.99,BR,1698883451
314,kirando,-7.4167,30.6,76.15,65,84,4.74,TZ,1698883640
315,midvagur,62.0511,-7.1939,40.03,75,75,23.02,FO,1698883641
316,chilliwack,49.1747,-121.9443,55.78,60,100,4.0,CA,1698883502
317,cernavoda,44.3667,28.0167,49.24,70,50,2.75,RO,1698883641
318,tallulah,32.4085,-91.1868,46.45,42,0,3.44,US,1698883641
319,san jose,37.3394,-121.895,78.85,32,75,21.0,US,1698883508
320,la ronge,55.1001,-105.2842,27.52,82,96,5.84,CA,1698883612
321,port saint john's,-31.6229,29.5448,60.96,86,100,8.88,ZA,1698883641
322,rohru,31.2167,77.75,49.78,55,39,4.14,IN,1698883641
323,novosmolinskiy,56.2841,43.0507,51.28,92,100,7.23,RU,1698883641
324,chadron,42.8294,-102.9999,46.08,40,0,9.22,US,1698883641
325,nova sintra,14.8667,-24.7167,75.58,79,96,10.94,CV,1698883641
326,isangel,-19.55,169.2667,77.31,59,92,6.6,VU,1698883642
327,dolores,-36.3132,-57.6792,43.47,70,89,9.93,AR,1698883642
328,jayapura,-2.5333,140.7,87.19,64,81,2.24,ID,1698883642
329,kambarka,56.2694,54.2062,39.65,99,100,4.12,RU,1698883642
330,clarksville,36.5298,-87.3595,41.23,60,0,0.0,US,1698883478
331,sinop,41.7711,34.8709,57.07,85,70,3.4,TR,1698883642
332,camayenne,9.535,-13.6878,79.65,77,32,7.0,GN,1698883642
333,glace bay,46.1969,-59.957,40.15,93,100,5.01,CA,1698883642
334,caconda,-13.7333,15.0667,63.37,83,38,5.35,AO,1698883642
335,tindouf,27.6711,-8.1474,75.04,29,1,9.04,DZ,1698883642
336,norton shores,43.1689,-86.2639,39.97,67,98,3.0,US,1698883643
337,chernyshevskiy,63.0128,112.4714,-14.73,98,86,3.2,RU,1698883643
338,ljusdal,61.8288,16.0913,18.25,98,92,3.47,SE,1698883643
339,walvis bay,-22.9575,14.5053,61.09,94,52,5.82,NA,1698883643
340,bredy,52.4153,60.3411,43.38,90,74,15.23,RU,1698883643
341,fortuna,40.5982,-124.1573,68.94,34,0,9.22,US,1698883643
342,mikomeseng,2.1361,10.6132,69.71,99,98,1.92,GQ,1698883644
343,grunheide,52.4167,13.8167,53.37,80,100,7.87,DE,1698883644
344,shenkursk,62.1091,42.896,29.01,94,100,12.44,RU,1698883644
345,tangalle,6.024,80.7911,75.97,94,100,3.98,LK,1698883644
346,krasnyy yar,46.5331,48.3456,55.33,57,3,16.08,RU,1698883644
347,piacabucu,-10.4056,-36.4344,78.1,84,33,12.26,BR,1698883644
348,taybad,34.74,60.7756,51.08,25,10,8.12,IR,1698883645
349,undurkhaan,47.3194,110.6556,26.73,95,100,3.47,MN,1698883645
350,beira,-19.8436,34.8389,68.22,81,100,9.91,MZ,1698883645
351,khamis mushait,18.3064,42.7292,60.04,63,0,0.0,SA,1698883370
352,labrador city,52.9463,-66.9114,19.08,75,57,3.56,CA,1698883645
353,shakhun'ya,57.6758,46.6114,37.56,100,100,7.0,RU,1698883645
354,miracema do tocantins,-9.5618,-48.3967,90.41,32,84,3.04,BR,1698883645
355,berezovyy,51.6667,135.7,26.83,46,13,2.82,RU,1698883645
356,padang,-0.9492,100.3543,75.25,91,100,1.48,ID,1698883646
357,hannut,50.6714,5.079,52.27,90,75,1.99,BE,1698883646
358,al khums,32.6486,14.2619,78.58,44,64,10.02,LY,1698883646
359,vilyuchinsk,52.9306,158.4028,35.92,93,100,0.63,RU,1698883646
360,bayside,40.8424,-124.0637,69.15,62,0,3.44,US,1698883646
361,swakopmund,-22.6833,14.5333,60.98,77,52,5.99,NA,1698883573
362,mastic beach,40.7668,-72.8521,43.99,78,0,1.01,US,1698883646
363,ambanja,-13.6833,48.45,76.15,85,83,1.72,MG,1698883646
